Country (Name),ASFIS species (Name),FAO major fishing area (Name),Environment (Name),Unit (Name),Unit,[1950],S,[1951],S,[1952],S,[1953],S,[1954],S,[1955],S,[1956],S,[1957],S,[1958],S,[1959],S,[1960],S,[1961],S,[1962],S,[1963],S,[1964],S,[1965],S,[1966],S,[1967],S,[1968],S,[1969],S,[1970],S,[1971],S,[1972],S,[1973],S,[1974],S,[1975],S,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S
Afghanistan,Freshwater and Diadromous Fish,All,Freshwater,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,60,E,60,E,60,E,60,E,60,E,60,E,60,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,170,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,300,E,450,E,450,E,450,E,450,E,450,E,450,E,1050,E,1050,E,1650,E,2250,E,2850,E,3480,E,4110,E,4760,E,5450,E,6150,E,7000,E,7950,E,8629,E,9444,E,11107,E
Albania,Crustaceans,All,Brackishwater,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,8,,5,,2,,14,,0,...,0,...,0,...,0,...,0,...,3,,7,,8,,8,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Albania,Demersal Marine Fish,All,Freshwater,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,1,,1,,3,,1,,2,E,1,E,1,E,1,E,2,E,0,N,0,N,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,...,0,...,0,...,0,...
Albania,Demersal Marine Fish,All,Marine,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,100,,200,,250,,400,,250,,457,,486,,485,,505,,602,,545,,2000,,2200,,2300,,2500,,2700,,3400,,3300,,3470,,7187,,6187,
Albania,Freshwater and Diadromous Fish,All,Freshwater,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3,E,45,E,85,E,121,E,154,E,183,E,210,E,239,E,255,E,285,E,320,E,291,,306,,412,,559,,622,,763,,516,E,196,E,115,E,114,E,100,E,40,E,73,E,7,,16,,105,,105,,22,,360,,363,,369,,363,,240,,243,,558,,554,,500,,500,,500,,500,,500,,500,,600,,600,,1850,,1759,,1612,,1861,
Albania,Molluscs excl. Cephalopods,All,Marine,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,E,10,E,10,E,50,E,100,E,200,E,414,E,842,E,906,,902,,1752,,1808,,3107,,1840,,4443,,662,,281,,274,E,293,E,300,,250,,80,,100,,200,,200,,150,,300,,860,,800,,860,,1360,,1360,,950,,1250,,1410,,1300,,950,,1000,,1200,,495,,1450,,430,,1108,,1071,,285,,593,
Algeria,Crustaceans,All,Brackishwater,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,1,,1,,2,,2,,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,N,0,,0,,0,,0,,0,,0,,0,,0.08,,0.14,,0,...,0,,0,...,5,E,0.2,,5.25,E,0.05,,0,...,1.8,,0.33,
Algeria,Demersal Marine Fish,All,Brackishwater,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,22,,25,,30,,36,,32,,20,,20,,19,,8,E,56,E,51,E,30,E,26,E,26,E,12,,18,,25,E,32,E,34,E,1,E,1,E,1,E,9,,6,,51.71,,25.79,,4.47,,5.53,,6.07,,0.35,,1.68,,1.1,,2.38,,34.76,,10.58,,42.62,,39.87,,74.79,
Algeria,Demersal Marine Fish,All,Marine,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3,,4,E,5,E,6,E,7,,5,E,4,,5,,3,E,7,E,6,E,10,E,10,E,10,E,8,,18,,26,E,32,E,34,E,4,E,4,E,4,E,0,N,1,,4.83,,43.03,,115.43,,194.49,,363.39,,348.84,,919.43,,364.87,,295.5,,1797.93,,1815.15,,1656.72,,3354.7,,2548.68,
Algeria,Freshwater and Diadromous Fish,All,Brackishwater,Tonnes - live weight,TLW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,44,,34,,82,,76,,72,,53,,59,,24,,1,,15,E,24,,23,E,20,E,20,E,22,,15,,23,E,32,E,33,E,17,E,17,E,16,E,47,,38,,674.71,,538,,402.63,,172.19,,86.3,,36.21,,123.41,,43.83,,91.38,,479.43,,52.36,,443.75,,1479.67,,394.42,
