Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S
Afghanistan,All,Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,8.58,E,1.46,E,0.61,E
Afghanistan,All,Imports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,9,,0,...,0,...,0,...,0,...,0,...,0,...,5136.97,,4373,,3259.46,,2945.07,E,1977.98,E
Albania,All,Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,291,,124,,200,,0,...,1184,,1443,,1992,,1981,,3970,,1864,,897,,1116,E,830,E,1029,E,2380,,1841,,2617,,2811,,1924,,2052,,2175,E,2644,,2900,,549,,597,,325,,468,,3645,,4344,,3907,,4719,,5861,,6691,,7727,,9229,,12163,,14517,,14829.86,,16013.29,,19180.19,
Albania,All,Imports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,400,,425,,240,,160,,140,,157,,101,,358,E,420,E,1187,E,1965,,1948,,3516,,5882,,4985,,5470,,6919,,7440,,7997,,7946,,8449,,8651,,9516,,10071,,9868,,10841,,9368,,10294,,11629,,14778,,15766,,20033,,22793,,22702.79,,25431.95,,32698.89,
Albania,All,Reexports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2338,,4021,,2759,,2883,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Algeria,All,Exports,Tonnes – net product weight,TPW,1392,,1889,,354,,260,,246,,248,,16,,61,,78,,92,,81,,100,,93,,75,,164,,408,,877,,541,,620,,1045,,717,,716,,379,,860,,1317,,1498,,2415,,1755,,1537,,1982,,2079,,2181,,2781,,1881,,1408,,1265,,1407,,1319,,1710,,1700,,2024,,1761,,1609,E,2027.6,E,2777.22,E,2686.36,E
Algeria,All,Imports,Tonnes – net product weight,TPW,5868,,11261,,10168,,10979,,13192,,16858,,20219,,28510,,45917,,34212,,31039,,37197,,44216,,15680,,6862,E,3367,,9137,,6461,,9952,,20356,,4576,,7461,,5717,,7953,,8118,,7944,,11306,,21818,,22996,,20505,,23204,,20978,,18189,,28296,,29923,,29171,,29399,,32370,,42886,,43952,,40765,,40747,,36895,E,38226.41,E,35449.48,E,29559.86,E
Andorra,All,Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,N,7,,0,...,0,...,0,...,0,N,0,...,0,...,0,N,0,N,9,E,0,...,0,...,0,N,2,,0,...,2,,1,,0,N,0,N,0.7,,0.76,,3,E,2,E,0,,1.06,,2.77,
Andorra,All,Imports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2585,,2342,,2485,,2615,,2661,,2663,,2760,,2755,,2716,,2942,,2812,E,2677,,2731,,2476,,2471,,2448,,2469,,2311,,2340,,2397,,2358,,2384.35,,2376.1,,2446.85,,2863.2,,2132.85,,2189.68,
Angola,All,Exports,Tonnes – net product weight,TPW,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,3128,E,1896,E,1044,E,1224,E,1456,E,2279,E,2221,,2883,E,1358,E,3680,E,5790,E,5307,E,5427,E,14250,E,13741,E,7103,E,7859,E,7531,E,7837,E,7930,E,7017,E,8565,E,12035,E,5084,,11911,,11420,E,13617,E,24723,,70971,,45305,,92258.28,,9465.25,,20168.12,,18336.82,
