Reporting country (Name),Commodity (Name),Trade flow (Name),Unit (Name),Unit,[1976],S,[1977],S,[1978],S,[1979],S,[1980],S,[1981],S,[1982],S,[1983],S,[1984],S,[1985],S,[1986],S,[1987],S,[1988],S,[1989],S,[1990],S,[1991],S,[1992],S,[1993],S,[1994],S,[1995],S,[1996],S,[1997],S,[1998],S,[1999],S,[2000],S,[2001],S,[2002],S,[2003],S,[2004],S,[2005],S,[2006],S,[2007],S,[2008],S,[2009],S,[2010],S,[2011],S,[2012],S,[2013],S,[2014],S,[2015],S,[2016],S,[2017],S,[2018],S,[2019],S,[2020],S,[2021],S
Afghanistan,All,Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,18.98,E,15.33,E,6.92,E
Afghanistan,All,Imports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,9,,0,...,0,...,0,...,0,...,0,...,0,...,8439.53,,6853,,5091.05,,7604.96,E,5548.84,E
Albania,All,Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,615,,333,,475,,0,...,1822,,1577,,2951,,2905,,5904,,2925,,1556,,2280,E,1660,E,2453,E,5453,,5476,,5231,,8887,,5470,,6910,,8727,E,13516,,17173,,1732,,1793,,1919,,2858,,32604,,36386,,37604,,36682,,40766,,46117,,47963,,63189,,94047,,107682,,111482.54,,118850.9,,152638.82,
Albania,All,Imports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,171,,182,,102,,80,,70,,120,E,80,E,420,E,460,E,2055,E,1881,,2697,,2914,,6108,,4615,,5246,,9798,,11190,,13570,,15292,,16352,,17754,,26091,,27190,,28893,,34361,,28309,,34088,,43675,,47422,,53962,,75792,,87241,,87114.87,,93732.47,,124229.74,
Albania,All,Reexports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,16516,,22202,,23206,,26371,,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...
Algeria,All,Exports,Value (USD 1000),USD (1000),4731,,1653,,366,,297,,389,,347,,37,,163,,182,,188,,247,,336,,351,,428,,1064,,1944,,5122,,2117,,2361,,4544,,3515,,2288,,1178,,2734,,4205,,4876,,5816,,6454,,8200,,10924,,11244,,12164,,13335,,8498,,5899,,5868,,5820,,5759,,7047,,6317,,6675,,9543,,12269,E,16796.96,E,18953.2,E,20524.79,E
Algeria,All,Imports,Value (USD 1000),USD (1000),3276,,7482,,6949,,8468,,9372,,13633,,13066,,19545,,22941,,30471,,35786,,23969,,31147,,13409,,6257,,1714,,8229,,5073,,9460,,33028,,7247,,9973,,7864,,13352,,12546,E,14015,,9260,,16616,,23320,,21077,,30607,,27581,,31417,,54058,,50643,,58593,,65886,,91477,,136431,,109897,,109461,,123779,,132738,E,132109.37,E,119972.85,E,104664.14,E
Andorra,All,Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,2,,15,,0,...,0,...,0,...,0,N,0,...,0,...,1,,0,N,51,E,0,...,0,...,1,,24,,0,...,21,,3,,4,,1,,1.77,,2.75,,8,E,5,,0.06,,3.44,,11.01,
Andorra,All,Imports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,12309,,13076,,12741,,13261,,13409,,11910,,12550,,14229,,17743,,20140,,21421,E,20402,,22000,,22256,,19961,,19206,,20574,,18116,,19029,,20385,,17349.53,,18315.36,,19127,,20299,,19524.58,,18321.91,,20493.62,
Angola,All,Exports,Value (USD 1000),USD (1000),0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,0,...,6296,E,3560,E,3490,E,4830,E,5657,E,4932,E,7165,,5768,E,3922,E,9273,E,11618,E,10043,E,10839,E,21411,E,28181,E,8874,E,11945,E,16840,E,21772,E,28039,E,34372,E,41598,,44764,,34342,,59262,,66463,,71878,,74159,,98739,,69597,,92072.67,,26068.74,,74188.48,,45833.68,
